city,day,mean,std_err,lower,upper
Denver,20,2.5800,0.410722,1.774985,3.385015
Denver,21,2.6125,0.405661,1.817404,3.407596
Denver,22,2.6775,0.417545,1.859113,3.495887
Denver,23,2.6525,0.419382,1.830512,3.474488
Denver,24,2.7525,0.416960,1.935258,3.569742
Denver,25,2.8425,0.395953,2.066433,3.618567
Denver,26,2.7175,0.377860,1.976894,3.458106
Denver,27,2.4350,0.327874,1.792367,3.077633
Denver,29,2.3350,0.310405,1.726606,2.943394
Denver,30,2.1275,0.241026,1.655089,2.599911
Denver,31,2.0950,0.239580,1.625422,2.564578
Denver,32,2.0950,0.239580,1.625422,2.564578
Denver,33,2.3875,0.354487,1.692706,3.082294
Denver,34,2.6375,0.403545,1.846552,3.428448
Denver,35,2.7275,0.383153,1.976521,3.478479
Denver,36,2.6850,0.391282,1.918088,3.451912
Denver,37,2.7525,0.380402,2.006911,3.498089
Denver,38,3.0850,0.524012,2.057936,4.112064
Denver,39,3.0775,0.523659,2.051129,4.103871
Denver,40,3.0350,0.531038,1.994166,4.075834
Denver,41,3.1025,0.529486,2.064706,4.140294
Denver,42,3.0950,0.530565,2.055093,4.134907
Denver,43,3.0450,0.524737,2.016516,4.073484
Denver,44,3.3200,0.559424,2.223529,4.416471
Denver,45,3.3600,0.561422,2.259612,4.460388
Denver,46,3.3600,0.561422,2.259612,4.460388
Denver,47,3.4275,0.561009,2.327923,4.527077
Denver,48,3.4600,0.554838,2.372518,4.547482
Denver,49,3.3850,0.566029,2.275583,4.494417
Denver,50,3.4250,0.562467,2.322565,4.527435
Denver,51,3.3650,0.573009,2.241903,4.488097
Denver,52,3.3325,0.578719,2.198210,4.466790
Denver,53,3.0475,0.541577,1.986009,4.108991
Denver,54,2.7725,0.519813,1.753666,3.791334
Denver,55,2.8075,0.517654,1.792898,3.822102
Denver,56,2.8750,0.508669,1.878010,3.871990
Denver,57,2.9425,0.508113,1.946599,3.938401
Denver,58,2.7000,0.373179,1.968569,3.431431
Denver,59,2.6575,0.370916,1.930505,3.384495
Denver,60,2.7750,0.358983,2.071393,3.478607
Denver,61,2.6825,0.360958,1.975022,3.389978
Denver,62,2.7900,0.358549,2.087244,3.492756
Denver,63,2.7325,0.354811,2.037070,3.427930
Denver,64,2.4500,0.269583,1.921617,2.978383
Denver,65,2.5675,0.327915,1.924786,3.210214
Denver,66,2.5275,0.334841,1.871212,3.183788
Denver,67,2.5600,0.343377,1.886982,3.233018
Denver,68,2.5175,0.351413,1.828731,3.206269
Denver,69,2.6425,0.345494,1.965332,3.319668
Denver,70,2.6275,0.345461,1.950396,3.304604
Denver,71,2.7450,0.333146,2.092034,3.397966
Denver,72,2.7775,0.326065,2.138412,3.416588
Denver,73,2.7375,0.334288,2.082296,3.392704
Denver,74,2.7275,0.337018,2.066945,3.388055
Denver,75,2.6350,0.351872,1.945331,3.324669
Denver,76,2.6100,0.354429,1.915319,3.304681
Denver,77,2.4750,0.361827,1.765819,3.184181
Denver,78,2.2500,0.339779,1.584032,2.915968
Denver,79,2.2750,0.342117,1.604452,2.945548
Denver,80,2.1575,0.346235,1.478880,2.836120
Denver,81,2.0750,0.361291,1.366869,2.783131
Denver,82,1.8925,0.365279,1.176554,2.608446
Denver,83,1.7600,0.374259,1.026452,2.493548
Denver,84,1.7600,0.374259,1.026452,2.493548
Denver,85,1.5175,0.278125,0.972375,2.062625
Denver,86,1.5500,0.276903,1.007271,2.092729
Denver,87,1.3500,0.229510,0.900160,1.799840
Denver,88,1.3750,0.227802,0.928508,1.821492
Denver,89,1.2825,0.200913,0.888711,1.676289
Denver,90,1.1900,0.192957,0.811804,1.568196
Denver,91,1.5575,0.487407,0.602182,2.512818
Denver,92,1.7500,0.523975,0.723009,2.776991
Denver,93,1.7500,0.523975,0.723009,2.776991
Denver,94,1.7425,0.524706,0.714077,2.770923
Denver,95,1.8100,0.521795,0.787282,2.832718
Denver,96,1.8175,0.521731,0.794907,2.840093
Denver,97,1.8850,0.519292,0.867188,2.902812
Denver,98,1.8950,0.518337,0.879059,2.910941
Denver,99,1.7875,0.515908,0.776321,2.798679
Denver,100,1.8375,0.513418,0.831200,2.843800
Denver,101,1.9200,0.504881,0.930433,2.909567
Denver,102,2.0350,0.495367,1.064080,3.005920
Denver,103,2.0350,0.495367,1.064080,3.005920
Denver,104,1.9850,0.499689,1.005610,2.964390
Denver,105,1.9450,0.501945,0.961188,2.928812
Denver,106,1.9950,0.502841,1.009432,2.980568
Denver,107,2.1200,0.500879,1.138277,3.101723
Denver,108,2.1375,0.499736,1.158018,3.116982
Denver,109,2.1050,0.502318,1.120456,3.089544
